ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1763759317.144846,-0.001413713,0.072424080,0.009167367,0.001569187,0.000520867,-0.000726273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.021731767,0.042864197,0.014618705,0.045175441,-0.018835021,0.559983339,1,0
1763759317.146845,-0.040117713,0.060136080,0.036108367,0.001408187,-0.000029133,-0.000345273,0.517284124,-0.002288479,0.214825105,0.001395171,0.707483889,-0.002467298,0.706723788,1,3,-3.021731767,0.042864197,0.014618705,0.045175441,-0.018835021,0.559983339,1,0
1763759317.148858,0.005883287,0.094187080,0.010741367,0.001283187,-0.000114133,-0.000360273,0.517284124,-0.002288479,0.214825105,0.001395171,0.707483889,-0.002467298,0.706723788,1,3,-3.021731767,0.042864197,0.014618705,0.045175441,-0.018835021,0.559983339,1,0
1763759317.150831,0.043755287,0.060461080,0.032013367,0.001613187,-0.000077133,-0.001365273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.021731767,0.042864197,0.014618705,0.045175441,-0.018835021,0.559983339,1,0
1763759317.152842,-0.002517713,0.090489080,0.042174367,0.001405187,-0.001044133,0.000168727,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.154842,-0.032057713,0.076179080,0.011345367,0.001269187,0.000983867,-0.000268273,0.517283298,-0.002288475,0.214822655,0.001395175,0.707486807,-0.002467289,0.706720867,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.156832,-0.009157713,0.064584080,0.013973367,0.001435187,-0.000078133,-0.000510273,0.517283298,-0.002288475,0.214822655,0.001395175,0.707486807,-0.002467289,0.706720867,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.158847,0.028020287,0.056088080,0.033342367,0.000926187,-0.000063133,0.000452727,0.517284304,-0.002288479,0.214826345,0.001395171,0.707483043,-0.002467299,0.706724636,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.160835,-0.024170713,0.046423080,0.005661367,0.000905187,0.001784867,-0.001180273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.162861,-0.047092713,0.084098080,0.005360367,0.001786187,0.000911867,0.000665727,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.164862,-0.016850713,0.077079080,0.020953367,0.001819187,-0.000210133,-0.000533273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.166871,0.074600287,0.055843080,0.022022367,0.001519187,-0.003476133,-0.002193273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.168864,-0.032904713,0.102927080,0.039822367,0.001235187,-0.000635133,-0.000233273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.170881,-0.032535713,0.070977080,0.033367367,0.001669187,0.001468867,0.000163727,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.172868,-0.039501713,0.068194080,0.016982367,0.001542187,0.000614867,-0.001186273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
1763759317.174877,-0.009580713,0.066544080,0.032069367,0.001560187,0.002108867,-0.000927273,0.517284123,-0.002288478,0.214823663,0.001395175,0.707485819,-0.002467290,0.706721856,1,3,-3.023882786,0.046886905,0.014649300,0.045166645,-0.018836747,0.559993954,1,0
