ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1763759431.156752,-0.047009713,0.038620080,0.004920367,0.000894187,0.000900867,-0.000322273,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.158749,-0.016885713,0.008240080,0.003323367,0.000002187,0.002187867,0.000281727,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.160764,0.012846287,0.034729080,0.035877367,0.001067187,-0.000034133,0.000965727,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.162797,0.135750287,-0.008637920,-0.013703633,0.000019187,-0.001514133,-0.000528273,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.164787,0.006330287,0.036087080,0.007726367,0.001078187,-0.000594133,-0.001184273,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.166774,-0.016863713,0.022299080,0.009168367,0.000795187,0.000076867,0.000881727,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.168790,0.014179287,0.012508080,0.008326367,0.001112187,-0.002118133,-0.001788273,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.170781,-0.017794713,0.043829080,0.041201367,0.000497187,-0.000189133,0.000210727,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058400252,-0.072608158,0.009024192,0.066727888,-0.024078915,0.597211525,1,0
1763759431.172802,0.022377287,0.013697080,-0.028154633,0.000717187,0.001153867,-0.001146273,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.174775,0.021410287,0.036415080,0.008032367,0.000686187,-0.000590133,-0.001449273,0.566633873,-0.002452736,0.139318776,0.001344400,0.707589377,-0.002516471,0.706618096,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.176786,-0.047044713,0.030460080,0.009452367,0.001169187,0.000299867,0.000156727,0.566634433,-0.002452737,0.139319414,0.001344400,0.707588718,-0.002516472,0.706618756,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.178780,-0.024122713,0.022401080,0.000180367,0.000660187,0.000404867,-0.000129273,0.566634433,-0.002452737,0.139319414,0.001344400,0.707588718,-0.002516472,0.706618756,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.180804,-0.002177713,0.047717080,0.029424367,0.000645187,0.000324867,-0.000460273,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.182777,0.028897287,0.018673080,0.008794367,0.000304187,0.000508867,-0.001370273,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.184821,-0.017335713,0.031158080,0.029327367,0.000649187,-0.000115133,-0.000005273,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.186811,-0.024334713,0.035493080,0.006150367,0.001047187,-0.000614133,0.000856727,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.188838,-0.001331713,0.025959080,0.003075367,0.000809187,0.001095867,-0.000554273,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.190830,-0.009868713,0.021788080,0.038822367,0.001196187,0.000218867,0.000742727,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
1763759431.192838,0.021573287,0.018089080,-0.001434633,0.000568187,0.000821867,-0.000842273,0.566635033,-0.002452739,0.139320097,0.001344400,0.707588012,-0.002516473,0.706619462,1,4,-3.058523117,-0.074527133,0.008568682,0.066711978,-0.024070570,0.597084861,1,0
