ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1763759283.591038,0.006517287,-0.002612920,-0.019472633,0.000040187,0.000380867,0.000809727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.593044,0.021414287,-0.015360920,-0.006669633,-0.000073813,0.000534867,0.000696727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.595047,-0.016609713,0.002175080,0.008844367,0.000285187,0.000069867,-0.001167273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.597053,-0.024049713,0.023174080,0.000276367,0.000662187,-0.000250133,-0.000519273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.599040,-0.024166713,-0.002567920,-0.003103633,-0.000387813,0.001015867,-0.000984273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.601054,0.013981287,0.018891080,-0.011733633,0.000026187,0.000258867,-0.000344273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.603041,-0.001379713,-0.002559920,-0.003070633,-0.000369813,0.001016867,-0.000986273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.605084,0.005553287,0.014306080,0.019953367,0.000147187,0.000205867,0.000195727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.121772462,0.066342035,0.026119738,0.070695130,-0.036461221,0.577500259,0,0
1763759283.607074,-0.024823713,0.023638080,0.014612367,-0.000152813,-0.000514133,0.000212727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.609114,-0.009520713,0.017704080,0.012508367,0.000132187,0.000989867,0.000415727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.611073,0.029067287,0.011578080,-0.001910633,0.000179187,-0.000933133,-0.000516273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.613075,-0.016533713,-0.012199920,-0.008463633,-0.000241813,0.001823867,0.000152727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.615082,0.006186287,0.011618080,0.007354367,0.000696187,-0.001476133,-0.000133273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.617127,-0.047041713,0.009736080,0.004013367,-0.000016813,0.001103867,-0.001130273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.619082,0.013649287,0.011054080,0.002984367,0.000030187,-0.000437133,-0.000261273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.621188,-0.001260713,0.023359080,-0.009691633,0.000143187,-0.000153133,-0.000142273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.623097,-0.040072713,0.030581080,0.015011367,-0.000173813,0.001020867,0.000001727,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.625110,-0.024616713,0.011002080,0.023277367,0.000266187,-0.000410133,-0.001158273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
1763759283.627091,-0.009252713,0.001393080,0.003900367,-0.000383813,0.001100867,-0.000531273,0.517225884,-0.002286571,0.140401781,0.001237085,0.706715456,-0.002622138,0.707491949,1,0,-3.103017857,0.067428041,0.025756011,0.070725019,-0.036454084,0.577726395,0,0
