ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1763759397.589915,-0.024608713,-0.027700920,0.001059367,-0.000907813,0.000625867,0.000829727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.591916,-0.024282713,-0.025162920,0.001921367,-0.000900813,-0.001330133,-0.001104273,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.593924,0.059451287,-0.034835920,-0.008501633,-0.000558813,-0.000582133,0.000287727,0.566562449,-0.002455036,0.110452648,0.001307590,0.706603473,-0.002561766,0.707603886,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.595910,0.021082287,-0.044100920,-0.008408633,-0.001391813,0.000508867,0.001022727,0.566562449,-0.002455036,0.110452648,0.001307590,0.706603473,-0.002561766,0.707603886,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.597910,-0.009222713,-0.052866920,-0.002899633,-0.001137813,0.000792867,0.000496727,0.566562449,-0.002455036,0.110452648,0.001307590,0.706603473,-0.002561766,0.707603886,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.599930,0.005623287,-0.018896920,0.011107367,-0.000758813,0.000311867,0.000207727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.601945,-0.024626713,-0.031868920,0.008325367,-0.000501813,0.000276867,0.000880727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.603923,-0.024488713,-0.027039920,0.001506367,-0.000905813,0.000193867,0.000059727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.066442157,-0.026288900,0.041097645,0.072761659,0.013733649,0.586726989,1,0
1763759397.605986,-0.009015713,-0.029909920,0.003972367,-0.000347813,-0.001304133,-0.000534273,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.607939,0.059626287,-0.054291920,-0.009654633,-0.001070813,-0.001472133,-0.001007273,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.609991,0.029174287,-0.039346920,-0.011404633,-0.000309813,-0.000617133,0.000857727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.611954,-0.024370713,-0.027366920,-0.003698633,-0.000770813,0.000349867,0.000450727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.613998,-0.024301713,-0.049825920,-0.011363633,-0.000751813,0.001346867,0.001869727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.615945,-0.001214713,-0.034459920,-0.013094633,-0.000872813,-0.000639133,-0.000220273,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.617989,-0.017075713,-0.042361920,0.004015367,-0.000758813,0.002408867,0.001258727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.619956,-0.024804713,-0.031872920,0.013307367,-0.000638813,0.000336867,0.000873727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.621989,-0.024553713,-0.031095920,0.008421367,-0.000499813,-0.000377133,0.000490727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.623944,-0.008689713,-0.053844920,-0.023496633,-0.000596813,0.001199867,0.001675727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.625964,-0.009429713,-0.022520920,0.003050367,-0.000765813,-0.000442133,0.000893727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.628001,-0.031670713,-0.048497920,-0.000639633,-0.000215813,0.000166867,0.000077727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.630013,0.013447287,-0.017922920,0.015914367,-0.000078813,-0.000939133,-0.000305273,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.631958,-0.031770713,-0.031285920,-0.011234633,-0.000769813,0.000038867,0.000631727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.633957,-0.016483713,-0.030876920,-0.010797633,-0.000755813,-0.000173133,-0.000009273,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.636023,-0.024563713,-0.018641920,0.011034367,-0.000377813,-0.000125133,-0.000040273,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.638012,-0.024255713,-0.043959920,-0.003231633,-0.000752813,0.000134867,0.000269727,0.566562449,-0.002455036,0.110452648,0.001307590,0.706603473,-0.002561766,0.707603886,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.639950,0.028846287,-0.037480920,0.003955367,-0.000713813,-0.001961133,-0.000324273,0.566562449,-0.002455036,0.110452648,0.001307590,0.706603473,-0.002561766,0.707603886,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.641967,0.006094287,-0.032112920,-0.006546633,-0.000474813,0.000533867,0.001146727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.644077,-0.031780713,-0.028178920,-0.008244633,-0.000639813,0.001168867,0.000213727,0.566562452,-0.002455036,0.110450185,0.001307596,0.706606771,-0.002561755,0.707600593,1,1,-3.065772612,-0.022869623,0.041034924,0.072775121,0.013732300,0.586834971,1,0
1763759397.645976,-0.016871713,-0.035494920,0.006559367,-0.000622813,0.000036867,0.000034727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.066392166,-0.021667633,0.040818368,0.072788602,0.013736387,0.586976516,1,0
1763759397.647966,0.044294287,-0.047037920,-0.011104633,-0.000692813,-0.001052133,0.000689727,0.566562454,-0.002455036,0.110449200,0.001307599,0.706608090,-0.002561750,0.707599275,1,1,-3.066392166,-0.021667633,0.040818368,0.072788602,0.013736387,0.586976516,1,0
