ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1765836217.907057,-0.01642,-0.04618,-0.00322,0.00058,0.00103,0.00051,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,0
1765836217.909048,-0.00722,-0.03075,0.01933,0.00011,-0.00024,0.00052,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,1
1765836217.911047,-0.04949,0.01463,-0.03476,0.00000,-0.00039,0.00051,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,1
1765836217.913065,-0.00696,-0.00153,-0.04999,-0.00019,0.00012,0.00006,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,1
1765836217.915055,0.02216,-0.00398,-0.00467,0.00066,-0.00024,-0.00048,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,1
1765836217.917057,-0.00303,-0.02862,0.00372,0.00036,0.00034,-0.00017,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,1
1765836217.919052,0.00127,-0.00658,0.01091,-0.00003,0.00015,0.00023,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.07149,-0.15442,0.15776,0.11582,0.07470,0.73636,0,1
1765836217.921059,0.02643,0.02717,0.00999,-0.00027,0.00020,0.00046,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.923057,0.01298,0.02279,0.08593,-0.00273,-0.00054,-0.00053,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.925080,0.01386,0.02488,-0.01274,-0.00030,0.00035,0.00032,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.927092,0.00203,0.00348,0.01062,-0.00056,-0.00026,-0.00004,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.929076,-0.00353,-0.00884,0.02609,0.00060,0.00033,0.00011,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.931085,0.00994,0.01743,-0.00512,-0.00039,0.00065,-0.00007,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.933074,-0.00659,0.01804,-0.03536,-0.00061,0.00022,-0.00007,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70614,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.935073,-0.03225,-0.03067,-0.00357,-0.00011,0.00044,0.00012,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70615,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.937091,-0.03617,-0.05302,-0.00318,-0.00016,0.00088,-0.00027,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70615,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
1765836217.939190,-0.00639,-0.01185,-0.01186,-0.00075,0.00062,-0.00005,0.51588,-0.00038,0.22689,0.00044,0.70807,0.00002,0.70615,1,3,-3.10528,-0.19019,0.15169,0.11167,0.07454,0.72781,0,1
