ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1765840838.133781,0.01887,0.00104,-0.04679,0.00212,0.00057,-0.00026,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.135799,0.00676,0.00353,-0.03136,0.00128,0.00047,0.00030,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.137784,0.00680,0.00926,-0.02383,0.00157,-0.00043,0.00018,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.139873,0.01611,0.01304,-0.04674,0.00030,0.00022,0.00042,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.141797,0.02846,-0.00630,0.02993,-0.00277,-0.00157,0.00021,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.143777,0.02808,0.00651,-0.02388,0.00154,-0.00068,0.00002,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.145774,0.01186,0.01536,-0.01675,0.00055,0.00089,-0.00023,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.147832,0.01220,0.01063,0.00628,0.00027,0.00051,-0.00008,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.149776,0.01448,-0.00095,-0.04636,0.00210,-0.00013,0.00042,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.151892,0.02037,0.00095,-0.02355,0.00038,-0.00020,0.00057,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.153780,0.01862,0.01094,-0.02421,0.00224,0.00057,-0.00011,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.155817,0.01095,0.00004,0.01386,0.00124,0.00193,-0.00021,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.157844,0.01188,0.01526,-0.00121,0.00011,0.00065,0.00059,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.159815,0.01663,-0.00169,-0.02371,0.00012,0.00022,0.00003,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.161823,0.01168,0.01536,-0.03918,0.00033,0.00053,0.00056,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.163832,0.01597,0.01276,-0.01660,0.00052,0.00085,0.00003,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.165849,0.01113,-0.01873,-0.00061,0.00145,0.00068,-0.00008,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.167817,-0.01147,0.01140,0.01469,-0.00168,-0.00083,0.00117,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99928,0.01149,-0.01895,-0.03073,0.10057,0.06008,0.77178,0,1
1765840838.169859,0.01119,0.00129,-0.02390,0.00147,0.00028,-0.00023,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99930,0.01175,-0.01752,-0.03105,0.10059,0.06009,0.77186,0,1
1765840838.171813,0.01037,0.00663,-0.04669,0.00219,-0.00009,0.00002,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99930,0.01175,-0.01752,-0.03105,0.10059,0.06009,0.77186,0,1
1765840838.173817,0.00463,-0.00746,-0.06117,0.00005,-0.00166,0.00003,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99930,0.01175,-0.01752,-0.03105,0.10059,0.06009,0.77186,0,1
1765840838.175817,0.00312,0.01108,0.03669,0.00093,0.00049,-0.00005,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99930,0.01175,-0.01752,-0.03105,0.10059,0.06009,0.77186,0,1
1765840838.177844,0.01410,0.01103,0.03704,-0.00147,-0.00077,0.00036,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99930,0.01175,-0.01752,-0.03105,0.10059,0.06009,0.77186,0,1
1765840838.179839,0.00749,0.00931,-0.00894,0.00135,-0.00032,-0.00062,0.51643,-0.00036,0.15215,0.00045,0.70742,0.00009,0.70679,1,0,0.99930,0.01175,-0.01752,-0.03105,0.10059,0.06009,0.77186,0,1
