ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1765841061.024983,0.01116,-0.00887,-0.00585,0.00122,0.00029,-0.00062,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.026955,0.03686,0.00002,-0.01343,0.00024,0.00011,0.00029,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.028957,0.00323,-0.00871,0.01719,0.00057,0.00001,-0.00019,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.030960,-0.00157,0.00109,0.01763,-0.00325,-0.00145,0.00077,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.032959,0.03118,-0.00470,0.01757,-0.00244,-0.00108,0.00087,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.034958,0.03384,-0.00692,-0.02862,-0.00028,-0.00036,-0.00052,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.036991,0.02388,0.00732,-0.00622,0.00054,0.00089,-0.00010,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.038954,0.01653,-0.01212,-0.01312,-0.00035,0.00036,0.00005,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.040953,0.01149,0.00115,-0.03619,0.00069,-0.00035,-0.00010,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99932,0.01037,-0.01697,-0.03089,0.09843,0.10915,0.77884,0,0
1765841061.042967,0.00162,0.00302,0.03265,-0.00257,-0.00060,0.00091,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.044989,0.00665,-0.00802,0.03256,-0.00205,-0.00182,-0.00057,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.046961,0.00364,0.01633,-0.00571,-0.00022,-0.00114,0.00073,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.048966,0.01336,-0.01888,0.03263,-0.00087,-0.00036,-0.00031,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.050991,-0.01563,0.00639,-0.04384,0.00206,0.00049,0.00018,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.052991,0.02466,0.00733,-0.02117,-0.00033,0.00038,0.00030,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.055000,0.02114,-0.01330,-0.00530,-0.00014,-0.00134,-0.00008,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.057029,0.01759,-0.00617,0.01713,-0.00071,-0.00093,-0.00047,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.058999,0.01432,-0.00834,-0.03591,-0.00140,-0.00152,-0.00063,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.060994,0.00772,-0.01587,-0.02054,0.00048,-0.00054,-0.00022,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.063009,0.03319,0.00739,-0.02876,-0.00033,0.00003,0.00028,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.065008,-0.00548,0.00111,-0.01303,0.00025,-0.00013,0.00074,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.066974,0.01245,-0.00872,-0.01332,0.00013,-0.00036,-0.00062,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.069002,0.02065,0.00103,-0.01356,0.00025,-0.00047,-0.00050,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.071001,0.01514,0.00869,-0.04417,0.00143,-0.00028,-0.00052,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.072984,0.01940,-0.01339,-0.04341,0.00138,-0.00068,-0.00011,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.074984,0.01725,-0.01136,-0.01331,-0.00034,-0.00042,-0.00076,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.076977,0.02034,-0.00423,-0.00567,0.00019,-0.00020,0.00005,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.078992,0.01180,-0.00429,0.00191,0.00018,0.00016,0.00006,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.080995,0.02489,-0.00194,0.01710,-0.00022,-0.00025,0.00020,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99937,0.01045,-0.01630,-0.02961,0.09843,0.10915,0.77887,0,0
1765841061.083087,0.01682,-0.00635,0.00203,-0.00028,-0.00066,-0.00007,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.084998,0.01074,-0.00142,0.05519,-0.00240,-0.00111,-0.00016,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.087051,0.01926,-0.01375,-0.02829,0.00138,-0.00018,-0.00010,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.089004,0.02879,0.00553,-0.02108,0.00009,-0.00043,0.00016,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.091062,0.02469,0.00323,-0.00603,0.00028,-0.00026,-0.00036,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.093002,0.02489,-0.01185,0.00969,-0.00012,-0.00012,0.00006,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.095015,0.02923,-0.00451,-0.02848,-0.00025,-0.00030,0.00002,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
1765841061.097032,0.01951,-0.00873,-0.02085,0.00122,-0.00031,-0.00023,0.56623,-0.00041,0.12268,0.00044,0.70697,0.00008,0.70724,1,1,0.99938,0.01048,-0.01558,-0.02979,0.09842,0.10914,0.77879,0,0
