ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1765841363.243622,-0.00370,-0.00597,0.01083,0.00200,0.00088,-0.00025,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99996,0.00437,0.00255,0.00763,0.09986,0.11670,0.78386,0,0
1765841363.245630,0.00945,0.00644,0.00307,0.00149,0.00008,-0.00000,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99996,0.00437,0.00255,0.00763,0.09986,0.11670,0.78386,0,0
1765841363.247646,0.01774,-0.00111,0.04169,-0.00231,-0.00141,0.00044,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.249620,-0.00492,-0.01839,0.04920,-0.00056,0.00026,-0.00048,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.251639,0.01078,0.00108,0.00329,0.00012,0.00007,0.00013,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.253645,0.00678,-0.00169,-0.01951,-0.00014,0.00050,-0.00002,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.255630,-0.00098,0.00954,-0.00424,-0.00044,-0.00119,0.00014,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.257623,0.00709,0.00765,-0.01199,-0.00090,0.00075,0.00053,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.259642,0.01976,0.00591,-0.01948,-0.00048,-0.00042,0.00038,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
1765841363.261619,-0.00157,-0.00056,-0.00431,0.00031,-0.00042,-0.00040,0.56671,-0.00041,0.15262,0.00043,0.70698,0.00008,0.70723,1,4,0.99995,0.00442,0.00319,0.00819,0.09987,0.11671,0.78391,0,0
