ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1765841564.583809,0.01168,-0.00008,-0.01304,0.00025,-0.00034,0.00121,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99430,0.00529,-0.09538,-0.04728,0.10263,-0.10661,0.52130,0,0
1765841564.585834,0.01092,-0.00260,0.07057,-0.00263,-0.00098,0.00075,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99430,0.00529,-0.09538,-0.04728,0.10263,-0.10661,0.52130,0,0
1765841564.587809,0.03264,-0.01302,-0.01280,0.00031,-0.00020,0.00133,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99430,0.00529,-0.09538,-0.04728,0.10263,-0.10661,0.52130,0,0
1765841564.589830,0.00403,0.00957,-0.00578,-0.00051,-0.00001,0.00095,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99430,0.00529,-0.09538,-0.04728,0.10263,-0.10661,0.52130,0,0
1765841564.591840,0.01525,0.01223,-0.03643,0.00105,-0.00002,0.00065,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.593815,0.02386,-0.01236,-0.03567,0.00097,-0.00048,0.00092,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.595830,0.04575,0.01860,-0.00619,-0.00018,-0.00013,0.00104,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.597827,0.01758,-0.01231,-0.02030,-0.00100,-0.00104,0.00094,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.599831,0.00328,0.00027,-0.02834,0.00047,-0.00037,0.00080,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.601836,0.02038,-0.00087,0.00963,-0.00020,0.00032,0.00122,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.603817,0.02845,0.00434,-0.00592,0.00052,0.00008,0.00066,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
1765841564.605824,0.01526,0.00720,-0.02849,0.00077,-0.00013,0.00119,0.56737,-0.00151,0.45758,0.00381,0.70655,0.00052,0.70765,1,2,0.99420,0.00518,-0.09641,-0.04736,0.10263,-0.10661,0.52131,0,0
