ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1765842435.800301,-0.00253,0.00072,0.00493,0.00024,0.00048,0.00001,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.802268,0.00608,-0.00892,0.00515,0.00035,0.00001,-0.00013,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.804279,-0.01995,-0.01322,-0.01755,0.00116,0.00032,-0.00040,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.806262,-0.01245,0.00657,-0.02578,0.00206,0.00034,-0.00055,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.808262,0.01400,0.01987,0.00441,0.00026,0.00065,0.00025,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.810276,-0.00810,0.00080,0.06573,-0.00216,-0.00009,-0.00034,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.812275,0.00519,0.00113,-0.02527,0.00090,-0.00024,0.00038,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99563,0.00791,-0.06552,-0.06614,0.08711,0.04566,0.73888,0,0
1765842435.814303,0.00573,0.00499,0.03517,0.00008,0.00102,0.00029,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99549,0.00772,-0.06816,-0.06550,0.08713,0.04568,0.73896,0,0
1765842435.816295,0.02201,0.00996,-0.00305,0.00079,0.00069,0.00010,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99549,0.00772,-0.06816,-0.06550,0.08713,0.04568,0.73896,0,0
1765842435.818305,-0.00216,0.00539,0.01232,-0.00014,0.00073,-0.00013,0.56641,-0.00075,0.19935,0.00119,0.70650,-0.00008,0.70771,1,5,0.99549,0.00772,-0.06816,-0.06550,0.08713,0.04568,0.73896,0,0
