ros_time_sec,fx,fy,fz
1760630718.746788,0.111693387,-0.003823440,-0.021571180
1760630718.748796,0.050301387,-0.000711440,-0.004266180
1760630718.750818,0.013072387,-0.000010440,-0.024343180
1760630718.752792,0.005269387,0.002376560,-0.031049180
1760630718.754796,0.050627387,0.015940560,-0.010379180
1760630718.756799,0.042664387,0.002587560,-0.007705180
1760630718.758802,0.020539387,0.024054560,-0.019394180
1760630718.760801,0.027212387,0.032681560,0.000322820
1760630718.762798,0.065575387,0.025677560,-0.015118180
1760630718.764801,0.056967387,0.030482560,0.014611820
1760630718.766795,0.050664387,0.024277560,-0.024912180
1760630718.768803,-0.017554613,-0.005792440,-0.026550180
1760630718.770810,0.058284387,0.021168560,-0.016712180
1760630718.772833,0.027294387,0.016643560,0.000311820
1760630718.774819,0.035298387,-0.000898440,-0.009110180
1760630718.776802,0.050395387,0.020320560,-0.007108180
1760630718.778831,0.042919387,0.006913560,-0.009729180
1760630718.780816,0.042801387,0.026111560,-0.015278180
1760630718.782828,0.035153387,0.015441560,-0.004689180
1760630718.784829,0.050531387,0.019804560,-0.017074180
1760630718.786823,0.042994387,0.012044560,-0.012138180
1760630718.788835,0.081468387,-0.006518440,-0.031547180
1760630718.790819,0.005561387,0.016213560,-0.029484180
1760630718.792817,0.043100387,0.011450560,-0.027217180
1760630718.794823,0.042671387,0.021006560,-0.012074180
1760630718.796828,0.058579387,0.002958560,-0.031512180
1760630718.798818,0.058221387,0.002775560,-0.011548180
1760630718.800828,0.096358387,0.024955560,-0.024399180
1760630718.802831,0.013179387,0.000384560,-0.033769180
1760630718.804830,0.088361387,0.002456560,-0.001826180
1760630718.806844,0.058312387,0.016076560,-0.024747180
1760630718.808845,0.051001387,0.003217560,-0.026570180
1760630718.810881,0.058252387,0.029274560,-0.017852180
1760630718.812847,0.020473387,0.008265560,-0.019313180
1760630718.814848,0.050839387,0.012196560,-0.016726180
1760630718.816851,0.027920387,0.018811560,-0.027741180
1760630718.818838,0.073878387,0.016351560,-0.029736180
1760630718.820860,0.028529387,0.017389560,-0.038781180
1760630718.822865,0.051032387,0.003471560,-0.031459180
1760630718.824987,0.058241387,0.022045560,-0.020138180
1760630718.826972,0.058028387,0.007318560,-0.004311180
1760630718.828863,0.081154387,-0.000839440,-0.024471180
1760630718.830865,0.065725387,0.020437560,-0.017339180
1760630718.832870,0.034875387,0.029280560,-0.002145180
1760630718.834867,0.042970387,0.029221560,-0.017270180
1760630718.836862,0.073495387,0.015458560,-0.019518180
1760630718.838856,0.013135387,-0.000312440,-0.028753180
1760630718.840882,0.035044387,0.011674560,-0.008125180
1760630718.842866,0.035187387,0.024410560,-0.014588180
1760630718.845013,0.050397387,0.015330560,-0.009236180
1760630718.846923,0.042999387,0.032668560,-0.020315180
1760630718.848878,0.050776387,-0.001031440,-0.019435180
1760630718.850895,0.042888387,0.008456560,-0.004556180
1760630718.852890,0.050282387,0.024372560,-0.009041180
1760630718.854886,0.042454387,0.022058560,0.000500820
1760630718.856901,0.050732387,0.007796560,-0.024796180
1760630718.858909,0.035952387,0.012490560,-0.032142180
1760630718.860902,0.058430387,0.012379560,-0.021795180
1760630718.862886,0.012856387,0.026067560,-0.024743180
1760630718.864911,0.065624387,0.028126560,-0.017557180
1760630718.866947,0.058579387,0.016487560,-0.024393180
1760630718.868913,0.035976387,-0.008867440,-0.034506180
1760630718.870874,0.042946387,0.003617560,-0.017480180
1760630718.872903,0.042768387,0.007795560,-0.005003180
1760630718.874904,0.035742387,0.003694560,-0.027262180
1760630718.876919,0.050823387,0.012561560,-0.021966180
1760630718.878914,0.042672387,0.028556560,-0.012736180
1760630718.880910,0.043026387,0.016655560,-0.019532180
1760630718.882906,0.005579387,0.012830560,-0.036088180
1760630718.884916,0.080703387,0.018930560,-0.006873180
1760630718.886911,0.027623387,0.015765560,-0.009397180
1760630718.888919,0.050274387,0.024649560,-0.005426180
1760630718.891000,0.043377387,-0.000591440,-0.029475180
1760630718.892921,0.035505387,-0.004998440,-0.016475180
1760630718.894924,0.027293387,0.002938560,0.003192820
1760630718.896900,0.050528387,0.020612560,-0.022441180
1760630718.898929,0.096085387,0.016461560,-0.015109180
1760630718.900941,0.043074387,0.020900560,-0.021686180
1760630718.902946,0.042922387,0.008077560,-0.014078180
1760630718.904924,0.065101387,0.006314560,-0.004848180
1760630718.906931,0.012814387,0.020381560,-0.021855180
1760630718.908924,0.035258387,0.020826560,-0.011986180
1760630718.911020,0.050421387,0.025384560,-0.020887180
1760630718.912947,0.027650387,0.016650560,-0.009652180
1760630718.914949,0.043394387,0.012747560,-0.027118180
1760630718.916928,0.035991387,0.024199560,-0.033812180
1760630718.918942,0.057804387,0.007427560,0.000319820
1760630718.920945,0.012764387,0.004227560,-0.016534180
1760630718.922940,0.042712387,0.016180560,-0.010236180
1760630718.924960,0.066055387,0.023916560,-0.029553180
1760630718.926955,0.050869387,0.008268560,-0.029110180
1760630718.928958,0.050822387,-0.001143440,-0.019084180
1760630718.931060,0.057913387,0.019730560,-0.012273180
1760630718.932994,0.019956387,0.020782560,-0.017663180
1760630718.934975,0.042813387,0.030781560,-0.014473180
1760630718.936954,0.043393387,-0.000957440,-0.024236180
1760630718.938958,0.043206387,0.021016560,-0.027019180
1760630718.940941,0.027580387,0.024592560,-0.014758180
1760630718.942973,0.035760387,0.012044560,-0.027033180
1760630718.944948,0.066244387,0.006300560,-0.029275180
1760630718.946957,0.050720387,0.012523560,-0.011521180
1760630718.948969,0.035598387,0.007493560,-0.024307180
