ros_time_sec,tag_id,roll(rad),pitch(rad),yaw(rad),tx(m),ty(m),tz(m),q_x,q_y,q_z,q_w
1760630718.735843,3,-2.980213,0.003064,0.028443,-0.001608,-0.015641,0.562783,0.996646,0.014051,-0.002673,-0.080572
1760630718.773202,3,-2.978160,0.000160,0.028244,-0.001603,-0.015631,0.562472,0.996564,0.014068,-0.001232,-0.081616
1760630718.808652,3,-2.977471,-0.004314,0.027273,-0.001608,-0.015631,0.562524,0.996537,0.013767,0.001032,-0.081990
1760630718.840958,3,-2.980648,-0.001781,0.027851,-0.001606,-0.015645,0.562704,0.996666,0.013952,-0.000232,-0.080390
1760630718.878204,3,-2.977506,-0.002549,0.028055,-0.001601,-0.015640,0.562641,0.996536,0.014084,0.000121,-0.081961
1760630718.908281,3,-2.979473,-0.004703,0.027262,-0.001595,-0.015639,0.562660,0.996618,0.013776,0.001240,-0.080995
1760630718.944682,3,-2.980063,-0.002666,0.027848,-0.001598,-0.015638,0.562594,0.996641,0.013986,0.000205,-0.080687
1760630718.980592,3,-2.979840,-0.004641,0.028096,-0.001598,-0.015646,0.562698,0.996628,0.014189,0.001178,-0.080813
1760630719.012605,3,-2.975096,-0.002549,0.027756,-0.001605,-0.015634,0.562491,0.996439,0.013936,0.000116,-0.083162
1760630719.048994,3,-2.978445,-0.003872,0.028022,-0.001600,-0.015640,0.562683,0.996573,0.014122,0.000788,-0.081502
1760630719.085620,3,-2.974491,-0.001203,0.028102,-0.001601,-0.015633,0.562523,0.996412,0.014052,-0.000573,-0.083454
1760630719.116303,3,-2.982147,0.001478,0.028335,-0.001602,-0.015641,0.562732,0.996724,0.014063,-0.001865,-0.079620
1760630719.152070,3,-2.975210,-0.003971,0.028104,-0.001601,-0.015641,0.562548,0.996439,0.014168,0.000811,-0.083115
1760630719.184219,3,-2.976811,-0.003403,0.027516,-0.001598,-0.015637,0.562555,0.996510,0.013851,0.000563,-0.082313
1760630719.220813,3,-2.981411,-0.001251,0.027973,-0.001600,-0.015646,0.562821,0.996696,0.013991,-0.000496,-0.080006
1760630719.256799,3,-2.980935,-0.006293,0.027489,-0.001597,-0.015637,0.562682,0.996673,0.013952,0.002033,-0.080278
1760630719.288897,3,-2.978214,-0.000534,0.028314,-0.001596,-0.015630,0.562569,0.996565,0.014131,-0.000889,-0.081594
1760630719.324832,3,-2.979853,0.003890,0.028375,-0.001603,-0.015633,0.562601,0.996632,0.013984,-0.003084,-0.080746
1760630719.356654,3,-2.979057,-0.002973,0.027454,-0.001596,-0.015634,0.562555,0.996603,0.013802,0.000367,-0.081191
1760630719.394129,3,-2.977078,-0.004447,0.027603,-0.001600,-0.015630,0.562599,0.996519,0.013937,0.001082,-0.082187
1760630719.430067,3,-2.982720,-0.003750,0.027390,-0.001601,-0.015642,0.562862,0.996749,0.013800,0.000782,-0.079371
